name,slug,specialty,category,locations,address,bio,photo_url,booking_url,url
"Akshay Goswami, MD",akshay-goswami-md,OBGYN,Women’s Health,Samuell (White Rock Lake),,"Dr. Goswami grew up in Houston, TX. He is a graduate of Emory University with Bachelor of Science cum laude in Neuroscience and Economics. He received his MD degree with Distinction in Research and Master’s in Public Health at UT Health San Antonio. He then completed his Obstetrics and Gynecology residency at LSU Health in New Orleans, LA. Dr. Goswami firmly believes in the collaborative practice of medicine and empowering his patients to be well informed in their care. He wants his patients to feel 100% involved in all medical decisions. He is an active listener and uses his expertise to provide his patients with the information they need to make healthcare decisions that are right for them. Dr. Goswami has a special interest in infertility, contraception, innovative technology, and minimally invasive gynecological surgery. In his free time, he enjoys hiking with his wife and supporting his hometown sports teams. He is now excited to call Dallas, TX home!",https://stellamattina.com/wp-content/uploads/2024/09/AKSHAY-GOSWAMI-1.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/akshay-goswami-md/
"Alfredo A. Antonetti, MD",alfredo-a-antonetti-md,OBGYN,Women’s Health,Mesquite,,"Inspired by his family roots, Dr. Alfredo Antonetti decided he wanted to become a physician at a very young age. All the men in his family have been great physicians including his father, brothers, and himself. He always knew that he had to follow the “legend of the Antonetti’s,” as he says. Dr. Antonetti was born in Muenster, TX. After he finished High School, he began college at Southern Methodist University in Dallas. He then continued his education at the Universidad Autónoma de Guadalajara. He is accepting new OB patients.",https://stellamattina.com/wp-content/uploads/2024/03/bio_aa.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/alfredo-a-antonetti-md/
"Ann L. Roc, MD",ann-l-roc-md,OBGYN,Women’s Health,Mesquite,,"Dr. Ann Loraine Roc is an OBGYN. Her experience includes obstetrics, prenatal care, delivery and postpartum care, gynecologic oncology, and gynecologic surgery, including minimally invasive techniques. She completed her residency at Jamaica Hospital Medical Center in Jamaica Queens, New York, where she was chief resident of obstetrics and gynecology. Dr. Roc received her medical degree from Florida State University College of Medicine and a Bachelor’s degree from Florida State University. She has a passion for women’s health and strives to be the best advocate for her patients.",https://stellamattina.com/wp-content/uploads/2024/03/bio_ar.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/ann-l-roc-md/
"Ashley Hamilton, PA",ashley-hamilton-pa,OBGYN,Women’s Health,Mesquite,,"Ashley grew up in El Paso Texas, where she graduated with a Bachelor of Science degree in Biology at the University of Texas El Paso. Shortly after, she received a Master’s degree in Biomedical Sciences and was an adjunct professor at El Paso Community College for two years prior to PA school. In 2022, Ashley graduated as a board-certified PA from the University of Texas Southwestern in Dallas. She found a passion for women’s health during her time in PA school as she loved having the ability to empower women with their own health and educating them about their bodies. In her free time, she enjoys spending time with her family, staying active, cooking, and crafting!",https://stellamattina.com/wp-content/uploads/2024/03/bio_ah.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/ashley-hamilton-pa/
"Asma Bhaidani, PA-C",asma-bhaidani-pa-c,Family Medicine,Family Medicine,Carrollton,,"Asma Bhaidani, PA-C graduated from Midwestern University in Arizona with a Masters in Medical Science, in 2008. She received her undergraduate in Psychology with a focus on Pre-Med. With over 10 years of experience, Asma brings with her a background in non-narcotic pain management, weight loss counseling, and Family Medicine. “I focus on prevention measures to improve quality of life and prevent disease and manage acute illnesses as well. I look to partner with my patients and their families in providing quality care in a comfortable environment. I am very involved in the local community to help promote education, prevention, health management and improve quality of life. I volunteer in various capacities in the community and am always seeking to give back to the community. I firmly believe in empowering the next generation with knowledge and confidence and look to contribute to their wellness in whatever capacity I can!”",https://stellamattina.com/wp-content/uploads/2025/06/Asma-Baidini.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/asma-bhaidani-pa-c/
"Bruce E. Whitehead, MD",bruce-e-whitehead-md,Family Medicine,Family Medicine,North Dallas,,"Dr. Whitehead is a Family Practice Physician with more than 20 years of experience. He holds a Bachelor’s and Master’s degree in Biological Sciences from the University of Texas at Arlington. A graduate of St. Louis University School of Medicine, with receipt of a Fulbright-Swers Scholarship, he completed a Surgical internship in the Yale program at St. Mary’s Hospital in Waterbury, Connecticut and a three-year residency at Parkland Memorial hospital.","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20600%20600'%3E%3C/svg%3E",https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/bruce-e-whitehead-md/
"Camara Johnson, NP",camara-johnson-np,OBGYN,Women’s Health,Arlington/Midcities,,Camara Johnson is a board-certified nurse practitioner. She is particularly passionate about women’s health and strives to make a meaningful impact by advocating for and providing personalized care to women at every stage of life. She earned her Master’s degree from The University of Texas at Arlington and holds certification in BioTe hormone replacement therapy.,https://stellamattina.com/wp-content/uploads/2025/05/Camara_Johnson.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/camara-johnson-np/
"Cameron Holmes, MD",cameron-holmes-md,OBGYN,Women’s Health,Buckner,,"Dr. Cameron Holmes was born and raised in San Antonio, TX. He graduated magna cum laude from Texas A&M University with a Bachelor of Science in Biomedical Sciences. He earned his medical degree at UT Health San Antonio before completing his Obstetrics and Gynecology residency at LSU Health Sciences Center in New Orleans, LA, where he was recognized as Resident of the Year and served as Wellness Chief. Dr. Holmes believes the foundation of excellent care is listening first. He is passionate about patient education, preventative care, and taking a holistic approach that supports women through every stage of life. He has a special interest in minimally invasive gynecologic surgery, including laparoscopic and robotic procedures, and is also committed to global health and women’s advocacy. When he’s not caring for patients, Dr. Holmes can usually be found playing the piano, planning his next travel adventure, trying a new restaurant with his wife, Katie, or spending time in Dallas with their daughter, Amelia (Millie), and their Goldendoodle, Penny.",https://stellamattina.com/wp-content/uploads/2025/09/Cameron_Holmes-.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/cameron-holmes-md/
"Catherine Olsen, DO",catherine-olsen-do,OBGYN,Women’s Health,Rockwall,,"Dr. Olsen was an ER/ICU nurse before deciding to go to medical school, after which she did several years of general surgery before realizing her heart was in OBGYN. Having worked with a great corporate entity in Rockwall until it closed its OB line there, she tried a hospitalist role until finally deciding to open Genesis, a practice that sees medicine as a blend of art and science with a focus on wellness. With three children, two bonus children, and a granddaughter (as well as four dogs), Dr. Olson is also a competition swimmer.",https://stellamattina.com/wp-content/uploads/2025/11/Catherine-Olson.jpg,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/catherine-olsen-do/
"Dennis R. Abbas, MD",dennis-r-abbas-md,OBGYN,Women’s Health,Samuell (White Rock Lake),,"Dr. Abbas graduated from The Faculty of Medicine , Western University, London, Canada and completed his residency in OBGYN in Virginia, USA . He moved to Texas in 1985 and is a fellow of the American College of OBGYN since 1987. He is board certified and practices general OBGYN with a special interest in ambulatory procedures and infertility investigation. Speaks English, French, and Chinese.",https://stellamattina.com/wp-content/uploads/2024/03/Screenshot_2024-04-23_at_3.05.02_PM-2.png,https://mycw160.ecwcloud.com/portal22103/jsp/100mp/login_otp.jsp,https://stellamattina.com/practitioner/dennis-r-abbas-md/
